Start,End,Size;
0x1D92D3,0x1D9310,0x3D,
0x1D932D,0x1D9362,0x35,
0x1D959F,0x1D96E9,0x14A,
0x1D96E9,0x1DA23F,0xB56,
0x1DA23F,0x1DA29F,0x60,
0x1DA29F,0x1DA31E,0x7F,
0x1DA31E,0x1DA37F,0x61,
0x1DA37F,0x1DA3D0,0x51,
0x1DA4EE,0x1DADBB,0x8CD,
0x1DADBB,0x1DAE84,0xC9,
0x1DB023,0x1DB168,0x145,
0x1DB289,0x1DB2A4,0x1B,
0x1DB349,0x1DB485,0x13C,
0x1DB485,0x1DB4A3,0x1E,
0x1DB4FF,0x1DB517,0x18,
0x1DB517,0x1DB553,0x3C,
0x1DB553,0x1DB57E,0x2B,
0x1DB57E,0x1DB58D,0xF,
0x1DB5E7,0x1DB5FF,0x18,
0x1DB5FF,0x1DB641,0x42,
0x1DB641,0x1DB66D,0x2C,
0x1DB66D,0x1DB681,0x14,
0x1DBE89,0x1DBEE9,0x60,
0x1DBEE9,0x1DC0A5,0x1BC,
0x1DC0A5,0x1DC15E,0xB9,
0x1DC15E,0x1DC167,0x9,
0x1DC167,0x1DC191,0x2A,
0x1DC191,0x1DC1BF,0x2E,
0x1DC1BF,0x1DC2BB,0xFC,
0x1DD34C,0x1DD359,0xD,
0x1DD359,0x1DD6EE,0x395,
0x1DDB06,0x1DDB3F,0x39,
0x1DDB3F,0x1DDB86,0x47,
0x1DDB86,0x1DDD1C,0x196,
0x1DDD1C,0x1DDE3A,0x11E,
0x1DDE3A,0x1DDE3F,0x5,
0x1DDE3F,0x1DDE44,0x5,
0x1DDF3D,0x1DDF45,0x8,
0x1DDF45,0x1DDF83,0x3E,
0x1DE021,0x1DE14E,0x12D,
0x1DE14E,0x1DE2B0,0x162,
0x1DE637,0x1DE64E,0x17,
0x1DE64E,0x1DE8CA,0x27C,
0x1DE8CA,0x1DEB71,0x2A7,
0x1DEB71,0x1DEB7D,0xC,
0x1DEC27,0x1DEC3F,0x18,
0x1DEC3F,0x1DEC51,0x12,
0x1DEC51,0x1DEE70,0x21F,
0x1DF093,0x1DF24A,0x1B7,
0x1DF24A,0x1DF252,0x8,
0x1DF252,0x1DF29E,0x4C,
0x1DF779,0x1DF834,0xBB,
0x1DF834,0x1DF851,0x1D,
0x1DF8A3,0x1DF8D3,0x30,
0x1DF8D3,0x1DF91E,0x4B,
0x1DF91E,0x1DF940,0x22,
0x1DF974,0x1DF9B5,0x41,
0x1DF9B5,0x1DF9DB,0x26,
0x1DF9DB,0x1DFA01,0x26,
0x1DFA2D,0x1DFA90,0x63,
0x1DFABB,0x1DFAFE,0x43,
0x1DFB1E,0x1DFBC9,0xAB,
0x1DFBC9,0x1DFBEF,0x26,
0x1DFC07,0x1DFC6F,0x68,
0x1DFC6F,0x1DFC7D,0xE,
0x1DFE1A,0x1DFF5B,0x141,
0x1DFF5B,0x1DFF72,0x17,
0x1E0223,0x1E0298,0x75,
0x1E0383,0x1E03C8,0x45,
0x1E0907,0x1E0A5D,0x156,
0x1E1C51,0x1E1C64,0x13,
0x1E1F2E,0x1E20DB,0x1AD,
0x1E20DB,0x1E20E7,0xC,
0x1E20E7,0x1E20ED,0x6,
0x1E216A,0x1E21B3,0x49,
0x1E21B3,0x1E21C1,0xE,
0x1E21ED,0x1E2297,0xAA,
0x1E2297,0x1E22A6,0xF,
0x1E22F4,0x1E24EB,0x1F7,
